"TripType","VisitNumber","Weekday","Upc","ScanCount","DepartmentDescription","FinelineNumber"
6,17,"Friday",2610000575,1,"CANDY, TOBACCO, COOKIES",8012
6,17,"Friday",1200004300,1,"DSD GROCERY",9501
6,17,"Friday",3170004855,1,"CANDY, TOBACCO, COOKIES",8430
42,19,"Friday",7675335744,1,"IMPULSE MERCHANDISE",8904
42,19,"Friday",61156653747,1,"JEWELRY AND SUNGLASSES",556
42,19,"Friday",88743955560,1,"MENS WEAR",144
42,19,"Friday",692656840005,1,"FABRICS AND CRAFTS",397
42,19,"Friday",7675335744,1,"IMPULSE MERCHANDISE",8904
42,19,"Friday",695334428094,1,"ACCESSORIES",122
42,19,"Friday",88530637205,1,"MENS WEAR",5201
42,19,"Friday",88309608561,1,"MENS WEAR",5661
42,19,"Friday",3181070312,1,"HOME MANAGEMENT",8124
7,20,"Friday",7192191720,1,"FROZEN FOODS",9117
7,20,"Friday",68113106754,2,"SERVICE DELI",4010
9,23,"Friday",4011,1,"PRODUCE",5501
9,23,"Friday",692249579995,1,"HOME MANAGEMENT",3005
8,25,"Friday",7874207120,1,"INFANT CONSUMABLE HARDLINES",9012
8,25,"Friday",1590000097,1,"PRE PACKED DELI",7501
8,25,"Friday",7874208815,1,"INFANT CONSUMABLE HARDLINES",222
39,26,"Friday",89470001034,2,"DAIRY",1450
39,26,"Friday",84943400209,1,"COOK AND DINE",2072
39,26,"Friday",3663200828,1,"FROZEN FOODS",1850
39,26,"Friday",81829001273,3,"DAIRY",1450
39,26,"Friday",89470001006,1,"DAIRY",1450
39,26,"Friday",79108330121,1,"PHARMACY OTC",535
39,26,"Friday",4011,1,"PRODUCE",5501
39,26,"Friday",7874202251,1,"FROZEN FOODS",2003
39,26,"Friday",4009450167,1,"COOK AND DINE",579
25,28,"Friday",880552311919,1,"LADIESWEAR",313
25,28,"Friday",80859474194,1,"LADIESWEAR",4447
25,28,"Friday",4900003661,1,"DSD GROCERY",9538
25,28,"Friday",9933894190,1,"LADIESWEAR",1180
25,28,"Friday",2430004350,1,"COMM BREAD",3709
25,28,"Friday",7874298806,1,"BAKERY",2010
25,28,"Friday",7874298808,1,"BAKERY",2010
25,28,"Friday",4900001463,1,"DSD GROCERY",9538
8,29,"Friday",1200001311,1,"DSD GROCERY",9205
9,30,"Friday",9933894219,1,"LADIESWEAR",1180
8,31,"Friday",7874298393,1,"BAKERY",5024
8,31,"Friday",71514111356,1,"DAIRY",9020
8,32,"Friday",3400000246,1,"IMPULSE MERCHANDISE",100
8,33,"Friday",4178900743,2,"GROCERY DRY GOODS",3114
8,33,"Friday",61126911357,1,"DSD GROCERY",3467
8,40,"Friday",4900001801,1,"DSD GROCERY",9546
8,40,"Friday",2560000134,2,"IMPULSE MERCHANDISE",611
8,41,"Friday",7618316372,1,"DSD GROCERY",3054
8,41,"Friday",7066208720,2,"GROCERY DRY GOODS",3114
8,42,"Friday",4000049483,1,"IMPULSE MERCHANDISE",115
38,43,"Friday",7874235186,1,"DAIRY",1508
38,43,"Friday",2610000575,1,"CANDY, TOBACCO, COOKIES",8012
38,43,"Friday",3800057608,1,"GROCERY DRY GOODS",3600
38,43,"Friday",7962160010,1,"PRE PACKED DELI",7204
8,45,"Friday",4610000113,1,"DAIRY",7960
8,45,"Friday",2898978601,1,"FROZEN FOODS",1908
8,45,"Friday",930000038,1,"GROCERY DRY GOODS",2502
8,45,"Friday",7343509330,1,"COMM BREAD",3791
35,47,"Friday",8939615297,2,"DSD GROCERY",3458
35,47,"Friday",4119691401,2,"GROCERY DRY GOODS",3108
35,47,"Friday",3400037600,1,"IMPULSE MERCHANDISE",125
15,49,"Friday",4011,1,"PRODUCE",5501
15,49,"Friday",2200001596,1,"IMPULSE MERCHANDISE",110
15,49,"Friday",7464102712,1,"PRODUCE",5906
15,49,"Friday",7464100287,1,"PRODUCE",5964
15,49,"Friday",1786980439,1,"SERVICE DELI",6036
9,50,"Friday",3825775410,1,"MENS WEAR",8218
8,51,"Friday",84105800524,1,"PERSONAL CARE",1406
8,51,"Friday",1204404003,1,"PERSONAL CARE",109
8,53,"Friday",4016,1,"PRODUCE",1201
8,54,"Friday",2430078116,1,"COMM BREAD",2286
15,55,"Friday",87458603507,5,"IMPULSE MERCHANDISE",8023
15,55,"Friday",7874201839,1,"HOUSEHOLD PAPER GOODS",5020
15,55,"Friday",1090008031,1,"HOUSEHOLD PAPER GOODS",6640
15,55,"Friday",87458603516,1,"IMPULSE MERCHANDISE",8023
15,55,"Friday",7874202400,1,"HOUSEHOLD PAPER GOODS",5010
15,55,"Friday",1117932451,2,"CELEBRATION",140
8,56,"Friday",2840043393,1,"IMPULSE MERCHANDISE",808
8,56,"Friday",4900004086,1,"DSD GROCERY",9546
8,57,"Friday",9870,1,"BAKERY",1026
26,61,"Friday",1164633541,1,"HARDWARE",1101
26,61,"Friday",7535314088,1,"HARDWARE",5525
26,61,"Friday",7535309226,5,"HARDWARE",5525
26,61,"Friday",36382420220,1,"PHARMACY OTC",1300
26,61,"Friday",7535309202,1,"HARDWARE",5525
26,61,"Friday",7535309202,1,"HARDWARE",5525
26,61,"Friday",7003030410,1,"PHARMACY OTC",1101
26,61,"Friday",3700000338,1,"PERSONAL CARE",211
36,63,"Friday",7976503128,1,"DSD GROCERY",9206
36,63,"Friday",1750020722,1,"HOUSEHOLD CHEMICALS/SUPP",1210
36,63,"Friday",1700006809,1,"PERSONAL CARE",55
36,63,"Friday",1750020942,1,"HOUSEHOLD CHEMICALS/SUPP",1210
36,63,"Friday",1910010992,1,"BEAUTY",4010
9,68,"Friday",4282560278,1,"MENS WEAR",8225
20,69,"Friday",82720410582,1,"AUTOMOTIVE",9002
20,69,"Friday",7480851084,1,"BOOKS AND MAGAZINES",19
20,69,"Friday",7874210460,1,"AUTOMOTIVE",2500
20,69,"Friday",7148601319,1,"BOOKS AND MAGAZINES",324
7,72,"Friday",1200000131,1,"DSD GROCERY",9547
7,72,"Friday",22495500000,1,"SERVICE DELI",4041
7,72,"Friday",2840043618,1,"IMPULSE MERCHANDISE",808
8,74,"Friday",2430078116,2,"COMM BREAD",2286
7,76,"Friday",1312001036,1,"FROZEN FOODS",1801
7,76,"Friday",7539100261,1,"SEAFOOD",1053
7,76,"Friday",68113132894,1,"PRODUCE",7002
7,76,"Friday",3151,1,"PRODUCE",7801
39,79,"Friday",4000049570,1,"CANDY, TOBACCO, COOKIES",224
39,79,"Friday",7874236711,1,"GROCERY DRY GOODS",3557
39,79,"Friday",3800021441,1,"GROCERY DRY GOODS",3557
39,79,"Friday",1600026460,1,"GROCERY DRY GOODS",3554
39,79,"Friday",980000071,1,"CANDY, TOBACCO, COOKIES",85
39,79,"Friday",4000034759,1,"CANDY, TOBACCO, COOKIES",224
39,79,"Friday",2200000512,1,"IMPULSE MERCHANDISE",135
39,79,"Friday",694147116161,2,"OFFICE SUPPLIES",5806
9,81,"Friday",71441514160,1,"IMPULSE MERCHANDISE",8296
36,83,"Friday",7050129797,1,"IMPULSE MERCHANDISE",323
36,83,"Friday",85922000108,1,"PERSONAL CARE",6105
36,83,"Friday",63216911176,1,"PERSONAL CARE",6105
36,83,"Friday",3600036926,2,"PERSONAL CARE",9103
36,83,"Friday",3700000496,1,"PERSONAL CARE",9101
36,83,"Friday",68113176946,1,"PHARMACY OTC",2306
36,83,"Friday",4460001665,1,"PERSONAL CARE",9106
36,83,"Friday",7704311583,1,"PERSONAL CARE",9107
36,83,"Friday",18456000004,1,"PERSONAL CARE",6103
9,84,"Friday",4316875210,1,"HARDWARE",4513
9,84,"Friday",4613510253,1,"HARDWARE",4509
8,85,"Friday",4000000432,1,"IMPULSE MERCHANDISE",115
8,85,"Friday",4000042431,1,"IMPULSE MERCHANDISE",100
37,86,"Friday",7225001102,1,"COMM BREAD",3761
37,86,"Friday",7464100146,1,"PRODUCE",5930
37,86,"Friday",75166647006,2,"PRODUCE",7841
37,86,"Friday",75166647006,1,"PRODUCE",7841
37,86,"Friday",3000006403,1,"GROCERY DRY GOODS",3555
37,86,"Friday",8680000522,1,"BEAUTY",2105
37,86,"Friday",3338365301,1,"PRODUCE",7602
37,86,"Friday",71722616151,1,"PERSONAL CARE",5018
37,86,"Friday",7073405372,1,"GROCERY DRY GOODS",3352
37,86,"Friday",4046,1,"PRODUCE",5620
37,86,"Friday",4062,1,"PRODUCE",8104
37,86,"Friday",2529360102,2,"DAIRY",1511
37,86,"Friday",7092047449,1,"GROCERY DRY GOODS",3401
37,86,"Friday",7874235255,1,"GROCERY DRY GOODS",2456
37,86,"Friday",1450001463,1,"FROZEN FOODS",3003
37,86,"Friday",7874201846,1,"HOUSEHOLD PAPER GOODS",265
37,86,"Friday",7874235189,1,"DAIRY",1508
37,86,"Friday",3107,1,"PRODUCE",103
37,86,"Friday",7874237389,1,"FROZEN FOODS",1752
37,86,"Friday",7146410017,1,"PRODUCE",7652
37,86,"Friday",4011,1,"PRODUCE",5501
37,86,"Friday",4850002013,1,"DAIRY",1404
37,86,"Friday",5215953200,1,"DAIRY",7954
37,86,"Friday",4300004304,1,"GROCERY DRY GOODS",3308
7,87,"Friday",7106841012,1,"FROZEN FOODS",4063
8,91,"Friday",2430078106,1,"COMM BREAD",2286
32,92,"Friday",88530636725,1,"MENS WEAR",5101
32,92,"Friday",7874203255,1,"INFANT CONSUMABLE HARDLINES",717
32,92,"Friday",3700089226,1,"PERSONAL CARE",203
8,93,"Friday",4011,1,"PRODUCE",5501
8,95,"Friday",7790047132,1,"FROZEN FOODS",1204
38,97,"Friday",2100060847,1,"DAIRY",7957
38,97,"Friday",2700031150,1,"DAIRY",1221
38,97,"Friday",7874235187,1,"DAIRY",1508
38,97,"Friday",7225003706,2,"COMM BREAD",3702
38,97,"Friday",5200013226,1,"DSD GROCERY",4606
38,97,"Friday",3800059655,1,"GROCERY DRY GOODS",3600
38,97,"Friday",5210009004,1,"GROCERY DRY GOODS",4250
38,97,"Friday",7874235190,1,"DAIRY",1406
38,97,"Friday",4133112420,1,"GROCERY DRY GOODS",4290
38,97,"Friday",4812127707,1,"COMM BREAD",3719
38,97,"Friday",5150000693,1,"GROCERY DRY GOODS",2601
38,97,"Friday",5210009003,1,"GROCERY DRY GOODS",4250
38,97,"Friday",4133112466,1,"GROCERY DRY GOODS",4290
40,98,"Friday",7874201706,1,"DSD GROCERY",3562
40,98,"Friday",3400001314,1,"CANDY, TOBACCO, COOKIES",78
40,98,"Friday",7874200645,1,"DSD GROCERY",4672
40,98,"Friday",60538815805,2,"SHOES",4815
40,98,"Friday",7431255366,1,"PHARMACY OTC",502
40,98,"Friday",68113104849,1,"BEAUTY",3907
40,98,"Friday",81655901251,1,"PERSONAL CARE",3123
40,98,"Friday",7874209667,1,"HOUSEHOLD PAPER GOODS",6010
40,98,"Friday",7874209664,1,"HOUSEHOLD PAPER GOODS",6020
40,98,"Friday",4000048815,1,"CANDY, TOBACCO, COOKIES",79
40,98,"Friday",74759932274,1,"CANDY, TOBACCO, COOKIES",544
40,98,"Friday",3700057591,1,"PERSONAL CARE",801
40,98,"Friday",4693,1,"PRODUCE",4450
40,98,"Friday",72864925754,1,"LAWN AND GARDEN",102
40,98,"Friday",3400001327,1,"CANDY, TOBACCO, COOKIES",78
40,98,"Friday",7874201601,2,"DSD GROCERY",4676
40,98,"Friday",4144930197,1,"GROCERY DRY GOODS",4056
40,98,"Friday",7172512498,1,"DSD GROCERY",4673
40,98,"Friday",7045011864,1,"DSD GROCERY",4647
40,98,"Friday",4144930022,1,"GROCERY DRY GOODS",4056
40,98,"Friday",7874223029,1,"GROCERY DRY GOODS",3555
40,98,"Friday",3010026351,1,"DSD GROCERY",3856
40,98,"Friday",68113168758,3,"PHARMACY OTC",3534
40,98,"Friday",3320001140,1,"GROCERY DRY GOODS",4001
40,98,"Friday",74759961274,1,"GROCERY DRY GOODS",4002
40,98,"Friday",3120020297,1,"DSD GROCERY",4639
40,98,"Friday",1700006813,1,"PERSONAL CARE",4933
40,98,"Friday",4740004472,1,"PERSONAL CARE",1403
40,98,"Friday",2840018734,1,"DSD GROCERY",3658
40,98,"Friday",1600015990,1,"DSD GROCERY",3665
40,98,"Friday",74759964015,1,"GROCERY DRY GOODS",4002
40,98,"Friday",80276302882,1,"DSD GROCERY",4675
40,98,"Friday",3120027015,1,"DSD GROCERY",4639
40,98,"Friday",68113118722,1,"PHARMACY OTC",1352
40,98,"Friday",7874206209,1,"DSD GROCERY",9820
40,98,"Friday",3940001614,2,"GROCERY DRY GOODS",2828
40,98,"Friday",7906800310,3,"PHARMACY OTC",3533
40,98,"Friday",1600013680,1,"DSD GROCERY",3665
40,98,"Friday",3890000513,2,"GROCERY DRY GOODS",2757
40,98,"Friday",3120000291,1,"DSD GROCERY",4672
40,98,"Friday",4400002799,1,"DSD GROCERY",4156
40,98,"Friday",4000042134,1,"CANDY, TOBACCO, COOKIES",79
8,99,"Friday",7874235201,1,"DAIRY",1515
8,99,"Friday",1600027503,1,"GROCERY DRY GOODS",3600
37,100,"Friday",4383,1,"PRODUCE",3102
8,102,"Friday",7874235200,1,"DAIRY",1515
8,103,"Friday",4011,1,"PRODUCE",5501
5,105,"Friday",63748004256,2,"PHARMACY OTC",309
5,105,"Friday",63748006502,1,"PHARMACY OTC",312
5,105,"Friday",68113118730,1,"PHARMACY OTC",2561
3,106,"Friday",68113163351,1,"FINANCIAL SERVICES",275
3,106,"Friday",60538896309,1,"FINANCIAL SERVICES",276
8,107,"Friday",4900005537,1,"DSD GROCERY",9556
8,110,"Friday",4110080982,1,"PHARMACY OTC",1638
8,110,"Friday",3700026882,1,"PERSONAL CARE",811
8,117,"Friday",1200081331,1,"DSD GROCERY",3405
3,121,"Friday",68113163352,1,"FINANCIAL SERVICES",278
3,121,"Friday",68113163353,1,"FINANCIAL SERVICES",277
15,123,"Friday",7874208830,1,"HOUSEHOLD PAPER GOODS",5010
15,123,"Friday",7001197990,1,"SHEER HOSIERY",2771
15,123,"Friday",7001197991,1,"SHEER HOSIERY",2771
15,123,"Friday",4900005010,1,"DSD GROCERY",9570
15,123,"Friday",7297900418,1,"DSD GROCERY",3004
15,123,"Friday",7800008246,1,"DSD GROCERY",9580
15,123,"Friday",7874201454,1,"HOUSEHOLD PAPER GOODS",5510
15,123,"Friday",4900006633,1,"DSD GROCERY",9570
8,124,"Friday",9870,1,"BAKERY",1026
6,125,"Friday",7013710523,1,"CANDY, TOBACCO, COOKIES",8430
4,130,"Friday",68113177638,1,"PHARMACY OTC",2124
4,130,"Friday",7874235338,1,"GROCERY DRY GOODS",4253
4,130,"Friday",81483201043,2,"PHARMACY OTC",1110
4,130,"Friday",5084452902,1,"PHARMACY OTC",1121
4,130,"Friday",1650055954,1,"PHARMACY OTC",1121
4,130,"Friday",7566919900,1,"GROCERY DRY GOODS",4291
9,132,"Friday",6700886206,1,"CELEBRATION",6
9,132,"Friday",64541613597,-1,"CELEBRATION",6
9,132,"Friday",64541613597,2,"CELEBRATION",6
9,132,"Friday",6700886206,-1,"CELEBRATION",6
999,133,"Friday",9933894257,-1,"LADIESWEAR",1180
999,133,"Friday",9933894192,1,"LADIESWEAR",1180
8,134,"Friday",2840008359,1,"DSD GROCERY",3663
8,134,"Friday",3120021007,1,"DSD GROCERY",4639
7,137,"Friday",7682804668,1,"PERSONAL CARE",9110
7,137,"Friday",22813300000,1,"SERVICE DELI",4041
39,138,"Friday",7774529185,1,"PRODUCE",7045
39,138,"Friday",5100012968,1,"GROCERY DRY GOODS",3122
39,138,"Friday",7024781892,1,"MEAT - FRESH & FROZEN",6537
39,138,"Friday",1300000616,1,"GROCERY DRY GOODS",2503
39,138,"Friday",4175701101,1,"SERVICE DELI",3001
39,138,"Friday",3770034042,1,"HOUSEHOLD PAPER GOODS",5243
39,138,"Friday",7315010505,1,"PRODUCE",7958
8,139,"Friday",7366408015,1,"BAKERY",4013
8,139,"Friday",7874202252,1,"BAKERY",8046
24,140,"Friday",2413111459,6,"COOK AND DINE",3911
24,140,"Friday",73507802829,4,"WIRELESS",1710
24,140,"Friday",67571624417,2,"BEDDING",3233
24,140,"Friday",67571659007,2,"BEDDING",3232
24,140,"Friday",4269425903,1,"BATH AND SHOWER",1321
24,140,"Friday",4000042431,1,"IMPULSE MERCHANDISE",100
24,140,"Friday",2413178955,1,"COOK AND DINE",3737
24,140,"Friday",1634647770,3,"COOK AND DINE",3721
24,140,"Friday",1634647770,1,"COOK AND DINE",3721
24,140,"Friday",2413178955,3,"COOK AND DINE",3737
24,140,"Friday",3444195814,2,"COOK AND DINE",2530
24,140,"Friday",80240400446,1,"HOME MANAGEMENT",8103
24,140,"Friday",66553830610,1,"BATH AND SHOWER",1431
24,140,"Friday",66553830610,3,"BATH AND SHOWER",1431
24,140,"Friday",76668696858,2,"BEDDING",8203
24,140,"Friday",3240604749,2,"COOK AND DINE",2523
24,140,"Friday",3100943931,3,"COOK AND DINE",902
24,140,"Friday",2413111459,1,"COOK AND DINE",3911
24,140,"Friday",72186229562,1,"COOK AND DINE",2545
24,140,"Friday",3444194851,2,"COOK AND DINE",2536
24,140,"Friday",2569590987,1,"BEDDING",6503
33,145,"Friday",6132825602,1,"HOUSEHOLD PAPER GOODS",4002
33,145,"Friday",7069001410,1,"GROCERY DRY GOODS",3857
33,145,"Friday",3663201864,1,"DAIRY",1450
33,145,"Friday",4650071492,1,"HOUSEHOLD CHEMICALS/SUPP",3020
33,145,"Friday",4650081666,1,"HOUSEHOLD CHEMICALS/SUPP",3030
8,146,"Friday",4900000764,1,"DSD GROCERY",9546
8,146,"Friday",7013711129,1,"CANDY, TOBACCO, COOKIES",8430
40,152,"Friday",4180030225,2,"DSD GROCERY",4654
40,152,"Friday",7066208720,1,"GROCERY DRY GOODS",3114
40,152,"Friday",4178900411,14,"GROCERY DRY GOODS",3105
40,152,"Friday",2700061286,4,"GROCERY DRY GOODS",4402
40,152,"Friday",4178900757,1,"GROCERY DRY GOODS",3114
3,153,"Friday",68113107939,1,"FINANCIAL SERVICES",200
3,153,"Friday",60538887953,1,"FINANCIAL SERVICES",285
35,154,"Friday",2840043503,1,"IMPULSE MERCHANDISE",808
35,154,"Friday",2840042054,1,"IMPULSE MERCHANDISE",808
35,154,"Friday",1200013034,2,"DSD GROCERY",9501
35,154,"Friday",2840028204,1,"IMPULSE MERCHANDISE",808
8,155,"Friday",2200000666,1,"IMPULSE MERCHANDISE",135
8,155,"Friday",2840016189,1,"IMPULSE MERCHANDISE",808
8,155,"Friday",3800032110,1,"GROCERY DRY GOODS",3504
3,162,"Friday",68113163351,1,"FINANCIAL SERVICES",275
3,162,"Friday",60538896309,1,"FINANCIAL SERVICES",276
3,164,"Friday",60538896309,1,"FINANCIAL SERVICES",276
3,164,"Friday",68113163351,1,"FINANCIAL SERVICES",275
3,177,"Friday",83032400696,1,"IMPULSE MERCHANDISE",1749
3,177,"Friday",60538819035,1,"FINANCIAL SERVICES",1000
35,179,"Friday",3800059099,1,"IMPULSE MERCHANDISE",5
35,179,"Friday",61126911357,1,"DSD GROCERY",3467
35,179,"Friday",1708289781,1,"IMPULSE MERCHANDISE",601
35,179,"Friday",9147593097,1,"DAIRY",1405
3,181,"Friday",68113163351,1,"FINANCIAL SERVICES",275
3,181,"Friday",60538896309,1,"FINANCIAL SERVICES",276
999,182,"Friday",5473282047,-1,"HARDWARE",8410
21,185,"Friday",4011,1,"PRODUCE",5501
21,185,"Friday",3400000229,1,"IMPULSE MERCHANDISE",115
21,185,"Friday",7165803889,1,"BOOKS AND MAGAZINES",365
21,185,"Friday",2500000069,1,"DAIRY",1346
3,188,"Friday",68113152930,1,"FINANCIAL SERVICES",1000
9,189,"Friday",9506270506,2,"HORTICULTURE AND ACCESS",6210
999,190,"Friday",4316875342,-1,"HARDWARE",4513
43,194,"Friday",68113103676,1,"PHARMACY OTC",1118
43,194,"Friday",2253213798,1,"HORTICULTURE AND ACCESS",7428
43,194,"Friday",9285200065,5,"HORTICULTURE AND ACCESS",1000
43,194,"Friday",8307800317,1,"PHARMACY OTC",1181
43,194,"Friday",1200000131,1,"DSD GROCERY",9547
43,194,"Friday",4184000106,2,"PERSONAL CARE",3110
43,194,"Friday",2149600750,1,"LAWN AND GARDEN",26
43,194,"Friday",2471922120,3,"HORTICULTURE AND ACCESS",8005
43,194,"Friday",4650075173,1,"HOUSEHOLD CHEMICALS/SUPP",8945
8,195,"Friday",7874204007,1,"HOUSEHOLD PAPER GOODS",3011
8,195,"Friday",1900008342,1,"CANDY, TOBACCO, COOKIES",97
7,199,"Friday",60538871457,1,"DAIRY",9100
7,199,"Friday",4138309073,-1,"DAIRY",1505
7,199,"Friday",4138309073,2,"DAIRY",1505
7,199,"Friday",3800039122,1,"GROCERY DRY GOODS",3600
7,199,"Friday",22555500000,1,"MEAT - FRESH & FROZEN",1301
3,203,"Friday",60538896309,1,"FINANCIAL SERVICES",276
3,203,"Friday",68113163351,1,"FINANCIAL SERVICES",275
6,205,"Friday",7942623100,1,"GROCERY DRY GOODS",4603
6,205,"Friday",3485600408,1,"IMPULSE MERCHANDISE",801
6,205,"Friday",2500001922,1,"DAIRY",1407
6,205,"Friday",2610000577,1,"CANDY, TOBACCO, COOKIES",8018
999,207,"Friday",76163520390,1,"PRODUCE",3509
999,207,"Friday",2242229000,2,"DSD GROCERY",7957
31,209,"Friday",68113102889,1,"WIRELESS",9998
31,209,"Friday",79936661966,1,"WIRELESS",765
38,210,"Friday",60538871457,1,"DAIRY",9100
38,210,"Friday",2200012000,-1,"CANDY, TOBACCO, COOKIES",221
38,210,"Friday",1600027532,1,"GROCERY DRY GOODS",3600
38,210,"Friday",1800073412,1,"FROZEN FOODS",2010
38,210,"Friday",7229004037,1,"FROZEN FOODS",1204
38,210,"Friday",3700086775,1,"HOUSEHOLD PAPER GOODS",3050
38,210,"Friday",3800057636,1,"GROCERY DRY GOODS",3559
38,210,"Friday",7229000000,1,"PRE PACKED DELI",7301
38,210,"Friday",2200012000,1,"CANDY, TOBACCO, COOKIES",221
38,210,"Friday",3700086740,1,"HOUSEHOLD CHEMICALS/SUPP",2041
38,210,"Friday",3320000099,1,"HOUSEHOLD CHEMICALS/SUPP",745
35,211,"Friday",7373108208,1,"DSD GROCERY",7950
35,211,"Friday",1200001643,1,"DSD GROCERY",3467
35,211,"Friday",7874205421,1,"COMM BREAD",3732
35,211,"Friday",3000016910,1,"DSD GROCERY",4669
42,214,"Friday",7600137654,1,"HOME DECOR",5547
42,214,"Friday",5200033831,1,"DSD GROCERY",4608
42,214,"Friday",2200001748,1,"IMPULSE MERCHANDISE",135
42,214,"Friday",88153950348,1,"BOYS WEAR",728
42,214,"Friday",5138638001,1,"HOUSEHOLD CHEMICALS/SUPP",9720
42,214,"Friday",978140544941,1,"BOOKS AND MAGAZINES",2120
42,214,"Friday",84325881480,1,"TOYS",5312
38,216,"Friday",7602000812,1,"PRE PACKED DELI",7803
38,216,"Friday",2550020188,1,"GROCERY DRY GOODS",3304
38,216,"Friday",1420008453,1,"CANDY, TOBACCO, COOKIES",19
38,216,"Friday",2500000069,1,"DAIRY",1346
38,216,"Friday",4050,1,"PRODUCE",6501
38,216,"Friday",2900000856,1,"DAIRY",1251
42,217,"Friday",76594045864,1,"FABRICS AND CRAFTS",2650
42,217,"Friday",692715640010,1,"FABRICS AND CRAFTS",412
42,217,"Friday",85607600322,1,"IMPULSE MERCHANDISE",322
42,217,"Friday",85607600346,1,"IMPULSE MERCHANDISE",322
42,217,"Friday",81137302035,1,"FABRICS AND CRAFTS",3605
5,218,"Friday",68113129801,1,"PHARMACY OTC",2303
9,219,"Friday",60786911407,1,"INFANT CONSUMABLE HARDLINES",1009
24,220,"Friday",3753103274,1,"HOME MANAGEMENT",1207
24,220,"Friday",8265750406,1,"DSD GROCERY",2352
24,220,"Friday",3040021650,1,"HOUSEHOLD PAPER GOODS",1020
24,220,"Friday",2775501079,1,"OFFICE SUPPLIES",3702
8,221,"Friday",4740015685,1,"PERSONAL CARE",1401
32,223,"Friday",68113105574,1,"INFANT CONSUMABLE HARDLINES",228
32,223,"Friday",7874200504,1,"INFANT CONSUMABLE HARDLINES",228
39,224,"Friday",7874207792,1,"HOUSEHOLD PAPER GOODS",4005
39,224,"Friday",7874202400,2,"HOUSEHOLD PAPER GOODS",5010
